word lemma
قلوبهم قَلْب
مرض مَرَض
فزادهم زاد
الله اللَّه
مرضا مَرَض
ولهم لِ
عذاب عَذاب
اليم أَلِيم
بما ما
كانوا كان
يكذبون كَذَب
واذا إِذا
قيل قال
لهم لِ
لا لا
تفسدوا أَفْسَد
في فِي
الارض أَرْض
قالوا قال
انما إِنَّما
نحن نَحْنُ
مصلحون مُصَلِّح
الا إِلّا
انهم أَنَّ
هم هُم
المفسدون مُفْسِد
ولكن لٰكِن
لا لا
يشعرون شَعَر
واذا إِذا
قيل قال
لهم لِ
امنوا أَمَّن
كما كَما
امن أَمْن
الناس ناس
قالوا قال
انؤمن انؤمن
كما كَما
امن أَمْن
السفهاء سَفِيه
الا إِلّا
انهم أَنَّ
هم هُم
السفهاء سَفِيه
ولكن لٰكِن
لا لا
يعلمون عَلِم
واذا إِذا
لقوا لَقِي
الذين الَّذِي
امنوا أَمَّن
قالوا قال
امنا أَمْن
واذا إِذا
خلوا خِلْو
الي إِلَى
شياطينهم شَيْطان
قالوا قال
انا أَنا
معكم مَع
انما إِنَّما
نحن نَحْنُ
مستهزئون مُسْتَهْزِئ
الله اللَّه
يستهزئ ٱِسْتَهْزَأ
بهم بِ
ويمدهم مَدّ
في فِي
طغيانهم طُغْيان
يعمهون عَمِه
اولئك أُولائِكَ
الذين الَّذِي
اشتروا ٱِشْتَرَى
الضلالة ضَلال
بالهدي هَدْي
فما ما
ربحت رَبِح
تجارتهم تِجارَة
وما ما
كانوا كان
مهتدين مُهْتَدِي
مثلهم مِثْل
كمثل مَثَل
الذي الَّذِي
استوقد ٱِسْتَوْقَد
نارا نار
فلما لَمّا
اضاءت أَضاء
ما ما
حوله حَوْل
ذهب ذَهَب
الله اللَّه
بنورهم نُور
وتركهم تَرَك
في فِي
ظلمات ظُلْمَة
لا لا
يبصرون أَبْصَر
صم أَصَمّ
بكم بِ
عمي عَمّ
فهم هُم
لا لا
يرجعون رَجَع
او أَو
كصيب كصيب
من مِن
السماء سَماء
فيه فِي
ظلمات ظُلْمَة
ورعد رَعْد
وبرق بَرْق
يجعلون جَعَل
اصابعهم إِصْبَع
في فِي
اذانهم أُذُن
من مِن
الصواعق صاعِقَة
حذر حَذَّر
الموت مَوْت
والله اللَّه
محيط مُحِيط
بالكافرين كافِر
يكاد كاد
البرق بَرْق
يخطف خَطَف
ابصارهم أَبْصار
كلما كَلْم
اضاء أَضاء
لهم لِ
مشوا مَشَى
فيه فِي
واذا إِذا
اظلم ٱِظَّلَم
عليهم عَلَى
قاموا قام
ولو لَو
شاء شاء
الله اللَّه
لذهب ذَهَب
بسمعهم سَمْع
وابصارهم أَبْصار
ان أَنَّ
الله اللَّه
علي عَلَى
كل كُلّ
شيء شَيْء
قدير قَدِير
يا يا
ايها أَيُّها
الناس ناس
اعبدوا اعبدوا
ربكم رَبّ
الذي الَّذِي
خلقكم خَلْق
والذين الَّذِي
من مِن
قبلكم قَبِل
لعلكم لَعَلَّ
تتقون ٱِتَّقَى
الذي الَّذِي
جعل جَعَل
لكم لِ
الارض أَرْض
فراشا فِراش
والسماء سَماء
بناء بِناء
وانزل نَزَل
من مِن
السماء سَماء
ماء ماء
فاخرج خَرَج
به بِ
من مِن
الثمرات ثَمْر
رزقا رَزَق
لكم لِ
فلا لا
تجعلوا جَعَل
لله اللَّه
اندادا نِدّ
وانتم أَنْتُم
تعلمون عَلِم
وان أَنَّ
كنتم كان
في فِي
ريب رَيْب
مما مِن
نزلنا نَزِل
علي عَلَى
عبدنا عَبْد
فاتوا أَتَى
بسورة سُور
من مِن
مثله مِثْل
وادعوا ٱِدَّعَى
شهداءكم شَهِيد
من مِن
دون دُون
الله اللَّه
ان أَنَّ
كنتم كان
صادقين صادِق
فان إِنَّ
لم لَم
تفعلوا فَعَل
ولن لَن
تفعلوا فَعَل
فاتقوا ٱِتَّقَى
النار نار
التي الَّذِي
وقودها قائِد
الناس ناس
والحجارة حَجّار
اعدت أَعَدّ
للكافرين كافِر
وبشر شَرّ
الذين الَّذِي
امنوا أَمَّن
وعملوا عَمِل
الصالحات صالِح
ان أَنَّ
لهم لِ
جنات جَنَّة
تجري جَرَى
من مِن
تحتها تَحْتَ
الانهار نَهْر
كلما كَلْم
رزقوا رَزَق
منها مِن
من مِن
ثمرة ثَمْر
رزقا رَزَق
قالوا قال
هذا هٰذا
الذي الَّذِي
رزقنا رَزَق
من مِن
قبل قِبَل
واتوا أَتَى
به بِ
متشابها مُتَشابِه
ولهم لِ
فيها فِي
ازواج زَوْج
مطهرة مَطْهَر
وهم هُم
فيها فِي
خالدون خالِد
ان أَنَّ
الله اللَّه
لا لا
يستحيي ٱِسْتَحْيَى
ان أَنَّ
يضرب ضَرَب
مثلا مَثَل
ما ما
بعوضة عِوَض
فما ما
فوقها فَوْق
فاما أَمّا
الذين الَّذِي
امنوا أَمَّن
فيعلمون عَلِم
انه أَنَّ
الحق حَقّ
من مِن
ربهم رَبّ
واما إِمّا
الذين الَّذِي
كفروا كَفَّر
فيقولون قال
ماذا ماذا
اراد أَراد
الله اللَّه
بهذا هٰذا
مثلا مَثَل
يضل ضَلّ
به بِ
كثيرا كَثِير
ويهدي أَهْدَى
به بِ
كثيرا كَثِير
وما ما
يضل ضَلّ
به بِ
الا إِلّا
الفاسقين فاسِق
الذين الَّذِي
ينقضون ٱِنْقَضَى
عهد عَهِد
الله اللَّه
من مِن
بعد بُعْد
ميثاقه مِيثاق
ويقطعون قَطَع
ما ما
امر أَمْر
الله اللَّه
به بِ
ان أَنَّ
يوصل وَصَل
ويفسدون أَفْسَد
في فِي
الارض أَرْض
اولئك أُولائِكَ
هم هُم
الخاسرون خاسِر
كيف كَيْفَ
تكفرون كَفَّر
بالله اللَّه
وكنتم كان
امواتا مَيِّت
فاحياكم أَحْيَى
ثم ثُمَّ
يميتكم أَمات
ثم ثُمَّ
يحييكم أَحْيَى
ثم ثُمَّ
اليه إِلَى
ترجعون رَجَع
هو هُوَ
الذي الَّذِي
خلق خَلْق
لكم لِ
ما ما
في فِي
الارض أَرْض
جميعا جَمِيع
ثم ثُمَّ
استوي ٱِسْتَوَى
الي إِلَى
السماء سَماء
فسواهن سِوَى
سبع سَبْع
سماوات سَماء
وهو هُوَ
بكل كُلّ
شيء شَيْء
عليم عَلِيم
واذ إِذ
قال قال
ربك رَبّ
للملائكة مَلْأَك
اني أَنَّ
جاعل جاعَل
في فِي
الارض أَرْض
خليفة خَلِيفَة
قالوا قال
اتجعل اتجعل
فيها فِي
من مِن
يفسد أَفْسَد
فيها فِي
ويسفك سَفَك
الدماء دَم
ونحن نَحْنُ
نسبح سَبَح
بحمدك حَمْد
ونقدس قَدَّس
لك لِ
قال قال
اني أَنَّ
اعلم عَلِم
ما ما
لا لا
تعلمون عَلِم
وعلم عَلِم
ادم آدَم
الاسماء ٱِسْم
كلها كُلّ
ثم ثُمَّ
عرضهم عَرْض
علي عَلَى
الملائكة مَلْأَك
فقال قال
انبئوني انبئوني
باسماء ٱِسْم
هؤلاء هٰذا
ان أَنَّ
كنتم كان
صادقين صادِق
قالوا قال
سبحانك سُبْحان
لا لا
علم عَلِم
لنا لِ
الا إِلّا
ما ما
علمتنا عَلِم
انك أَنَّ
انت أَنْتَ
العليم عَلِيم
الحكيم حَكِيم
قال قال
يا يا
ادم آدَم
انبئهم نَبَّأ
باسمائهم ٱِسْم
فلما لَمّا
انباهم أَنَّب
باسمائهم ٱِسْم
قال قال
الم آلَم
اقل أَقَلّ
لكم لِ
اني أَنَّ
اعلم عَلِم
غيب غائِب
السماوات سَماء
والارض أَرْض
واعلم أَعْلَم
ما ما
تبدون بَدا
وما ما
كنتم كان
تكتمون كَتَم
واذ إِذ
قلنا قال
للملائكة مَلْأَك
اسجدوا اسجدوا
لادم أَدْمَى
فسجدوا سَجَد
الا إِلّا
ابليس إِبْلِيس
ابي أَبِي
واستكبر ٱِسْتَكْبَر
وكان كان
من مِن
الكافرين كافِر
وقلنا قال
يا يا
ادم آدَم
اسكن سَكَّن
انت أَنْتَ
وزوجك زَوْج
الجنة جَنَّة
وكلا كَلّا
منها مِن
رغدا رَغَد
حيث حَيْثُ
شئتما شاء
ولا لا
تقربا قَرُب
هذه هٰذا
الشجرة شَجَرَة
فتكونا كان
من مِن
الظالمين ظالِم
فازلهما أَزَل
الشيطان شَيْطان
عنها عَن
فاخرجهما أَخْرَج
مما مِن
كانا كان
فيه فِي
وقلنا قال
اهبطوا أَهْبَط
بعضكم بَعَّض
لبعض بَعْض
عدو عَدُوّ
ولكم لِ
في فِي
الارض أَرْض
مستقر مُسْتَقِرّ
ومتاع مَتاع
الي إِلَى
حين حِين
فتلقي أَلْقَى
ادم آدَم
من مِن
ربه رَبّ
كلمات كَلِمَة
فتاب أَبَى
عليه عَلَى
انه أَنَّ
هو هُوَ
التواب تَوّاب
الرحيم رَحِيم
قلنا قال
اهبطوا أَهْبَط
منها مِن
جميعا جَمِيع
فاما أَمّا
ياتينكم أَتَى
مني مِن
هدي هَدْي
فمن مِن
تبع باع
هداي هُدَى
فلا لا
خوف خَوْف
عليهم عَلَى
ولا لا
هم هُم
يحزنون حَزَن
والذين الَّذِي
كفروا كَفَّر
وكذبوا كَذَب
باياتنا آيَة
اولئك أُولائِكَ
اصحاب صاحِب
النار نار
هم هُم
فيها فِي
خالدون خالِد
يا يا
بني بَنِي
اسرائيل إِسْرائِيل
اذكروا أَذْكَر
نعمتي نِعْمَة
التي الَّذِي
انعمت أَنْعَم
عليكم عَلَى
واوفوا أَوْفَى
بعهدي عَهْد
اوف أُوف
بعهدكم عَهْد
واياي إِيّا
فارهبون فارهبون
وامنوا أَمَّن
بما ما
انزلت أَنْزَل
مصدقا مُصَدَّق
لما ما
معكم مَع
ولا لا
تكونوا كان
اول أَوَّل
كافر كافِر
به بِ
ولا لا
تشتروا ٱِشْتَرَى
باياتي آيَة
ثمنا ثَمَن
قليلا قَلِيل
واياي إِيّا
فاتقون فاتقون
ولا لا
تلبسوا لَبِس
الحق حَقّ
بالباطل باطِل
وتكتموا كَتَم
الحق حَقّ
وانتم أَنْتُم
تعلمون عَلِم
واقيموا واقيموا
الصلاة صَلاة
واتوا أَتَى
الزكاة زَكاة
واركعوا أَرْكَع
مع مَع
الراكعين راكِع
اتامرون اتامرون
الناس ناس
بالبر بَرّ
وتنسون نَسِي
انفسكم نَفْس
وانتم أَنْتُم
تتلون تَلا
الكتاب كِتاب
افلا آفِل
تعقلون عَقَل
واستعينوا واستعينوا
بالصبر صَبْر
والصلاة صَلاة
وانها أَنَّ
لكبيرة كَبِير
الا إِلّا
علي عَلَى
الخاشعين خاشِع
الذين الَّذِي
يظنون ظَنّ
انهم أَنَّ
ملاقو مَلّاق
ربهم رَبّ
وانهم أَنَّ
اليه إِلَى
راجعون راجِع
يا يا
بني بَنِي
اسرائيل إِسْرائِيل
اذكروا أَذْكَر
نعمتي نِعْمَة
التي الَّذِي
انعمت أَنْعَم
عليكم عَلَى
واني أَنَّ
فضلتكم فَضَّل
علي عَلَى
العالمين عالَم
واتقوا ٱِتَّقَى
يوما يَوْم
لا لا
تجزي جَزّ
نفس نَفْس
عن عَن
نفس نَفْس
شيئا شَيْء
ولا لا
يقبل قَبِل
منها مِن
شفاعة شَفاعَة
ولا لا
يؤخذ ؤَخِّذ
منها مِن
عدل عَدَل
ولا لا
هم هُم
ينصرون نَصَر
واذ إِذ
نجيناكم نَجَّى
من مِن
ال ال
فرعون فِرْعَوْن
يسومونكم سام
سوء سُوء
العذاب عَذاب
يذبحون ذَبَح
ابناءكم أَبْناء
ويستحيون ٱِسْتَحْيَى
نساءكم نِساء
وفي فِي
ذلكم ذٰلِكَ
بلاء بَلاء
من مِن
ربكم رَبّ
عظيم عَظِيم
واذ إِذ
فرقنا فِرْقَة
بكم بِ
البحر بَحْر
فانجيناكم أَنْجَى
واغرقنا أَغْرَق
ال ال
فرعون فِرْعَوْن
وانتم أَنْتُم
تنظرون نَظَر
واذ إِذ
واعدنا أَعاد
موسي مُوسَى
اربعين أَرْبَع
ليلة لَيْلَة
ثم ثُمَّ
اتخذتم ٱُتُّخِذ
العجل عَجَل
من مِن
بعده بُعْد
وانتم أَنْتُم
ظالمون ظالِم
ثم ثُمَّ
عفونا عَفْو
عنكم عَن
من مِن
بعد بُعْد
ذلك ذٰلِكَ
لعلكم لَعَلَّ
تشكرون شَكَر
واذ إِذ
اتينا أَتَى
موسي مُوسَى
الكتاب كِتاب
والفرقان فُرْقان
لعلكم لَعَلَّ
تهتدون ٱِهْتَدَى
واذ إِذ
قال قال
موسي مُوسَى
لقومه قَوْم
يا يا
قوم قَوْم
انكم إِنَّ
ظلمتم ظَلَم
انفسكم نَفْس
باتخاذكم ٱِتِّخاذ
العجل عَجَل
فتوبوا تَوَّب
الي إِلَى
بارئكم بارِئ
فاقتلوا فاقتلوا
انفسكم نَفْس
ذلكم ذٰلِكَ
خير خَيْر
لكم لِ
عند عِنْد
بارئكم بارِئ
فتاب أَبَى
عليكم عَلَى
انه أَنَّ
هو هُوَ
التواب تَوّاب
الرحيم رَحِيم
واذ إِذ
قلتم قال
يا يا
موسي مُوسَى
لن لَن
نؤمن آمَن
لك لِ
حتي حَتَّى
نري وَرَى
الله اللَّه
جهرة جَهْر
فاخذتكم أَخَذ
الصاعقة صاعِقَة
وانتم أَنْتُم
تنظرون نَظَر
ثم ثُمَّ
بعثناكم بَعَث
من مِن
بعد بُعْد
موتكم مَوْت
لعلكم لَعَلَّ
تشكرون شَكَر
وظللنا ظَلَّ
عليكم عَلَى
الغمام غَمام
وانزلنا أَنْزَل
عليكم عَلَى
المن أَلام
والسلوي سَلْوَى
كلوا أَكَل
من مِن
طيبات طَيِّب
ما ما
رزقناكم رَزَق
وما ما
ظلمونا ظلمونا
ولكن لٰكِن
كانوا كان
انفسهم نَفْس
يظلمون ٱِظَّلَم
واذ إِذ
قلنا قال
ادخلوا أَدْخَل
هذه هٰذا
القرية قَرْيَة
فكلوا أَكَل
منها مِن
حيث حَيْثُ
شئتم شاء
رغدا رَغَد
وادخلوا أَدْخَل
الباب باب
سجدا سَجَد
وقولوا قال
حطة حَطّ
نغفر غَفَر
لكم لِ
خطاياكم خَطِيئَة
وسنزيد زاد
المحسنين مُحْسِن
فبدل بَدَل
الذين الَّذِي
ظلموا ظَلَم
قولا قَوْل
غير غَيْر
الذي الَّذِي
قيل قال
لهم لِ
فانزلنا أَنْزَل
علي عَلَى
الذين الَّذِي
ظلموا ظَلَم
رجزا رَجَز
من مِن
السماء سَماء
بما ما
كانوا كان
يفسقون فَسَق
واذ إِذ
استسقي ٱِسْتَسْقَى
موسي مُوسَى
لقومه قَوْم
فقلنا قال
اضرب ضَرَب
بعصاك عَصاً
الحجر حَجَر
فانفجرت ٱِنْفَجَر
منه مِن
اثنتا أَثْنَى
عشرة عَشَرَة
عينا عَيْن
قد قَدْ
علم عَلِم
كل كُلّ
اناس إِنْس
مشربهم مَشْرَب
كلوا أَكَل
واشربوا أَشْرَب
من مِن
رزق رِزْق
الله اللَّه
ولا لا
تعثوا عَثَى
في فِي
الارض أَرْض
مفسدين مُفْسِد
واذ إِذ
قلتم قال
يا يا
موسي مُوسَى
لن لَن
نصبر صَبَر
علي عَلَى
طعام طَعام
واحد واحِد
فادع دَعا
لنا لِ
ربك رَبّ
يخرج أَخْرَج
لنا لِ
مما مِن
تنبت أَنْبَت
الارض أَرْض
من مِن
بقلها بَقَل
وقثائها قِثّاءَة
وفومها فُوم
وعدسها عَدَس
وبصلها بَصَل
قال قال
اتستبدلون اتستبدلون
الذي الَّذِي
هو هُوَ
ادني أَدّ
بالذي بالذي
هو هُوَ
خير خَيْر
اهبطوا أَهْبَط
مصرا مُصِرّ
فان إِنَّ
لكم لِ
ما ما
سالتم سَأَل
وضربت ضَرَب
عليهم عَلَى
الذلة ذِلَّة
والمسكنة مَسْكَنَة
وباءوا باء
بغضب غَضَب
من مِن
الله اللَّه
ذلك ذٰلِكَ
بانهم أَنَّ
كانوا كان
يكفرون كَفَّر
بايات آيَة
الله اللَّه
ويقتلون قَتَل
النبيين نَبِيّ
بغير غَيْر
الحق حَقّ
ذلك ذٰلِكَ
بما ما
عصوا عَصاً
وكانوا كان
يعتدون ٱِعْتَدَى
ان أَنَّ
الذين الَّذِي
امنوا أَمَّن
والذين الَّذِي
هادوا هادَى
والنصاري نَصْرانِيّ
والصابئين والصابئين
من مِن
امن أَمْن
بالله اللَّه
واليوم يَوْم
الاخر آخَر
وعمل عَمِل
صالحا صالِح
فلهم لِ
اجرهم جَرَى
عند عِنْد
ربهم رَبّ
ولا لا
خوف خَوْف
عليهم عَلَى
ولا لا
هم هُم
يحزنون حَزَن
واذ إِذ
اخذنا أَخَذ
ميثاقكم مِيثاق
ورفعنا رَفْع
فوقكم فَوْق
الطور طَوْر
خذوا أَخَذ
ما ما
اتيناكم أَتَى
بقوة قُوَّة
واذكروا أَذْكَر
ما ما
فيه فِي
لعلكم لَعَلَّ
تتقون ٱِتَّقَى
ثم ثُمَّ
توليتم تَوَلَّى
من مِن
بعد بُعْد
ذلك ذٰلِكَ
فلولا لَوْلا
فضل فَضْل
الله اللَّه
عليكم عَلَى
ورحمته رَحْمَة
لكنتم كان
من مِن
الخاسرين خاسِر
ولقد قَدْ
علمتم عَلِم
الذين الَّذِي
اعتدوا أَعْتَد
منكم مِن
في فِي
السبت سَبَت
فقلنا قال
لهم لِ
كونوا كان
قردة قِرْد
خاسئين خاسِئ
فجعلناها جَعَل
نكالا نَكال
لما ما
بين بَيِّن
يديها يَد
وما ما
خلفها خَلَّف
وموعظة مَوْعِظَة
للمتقين مُتَّقِي
واذ إِذ
قال قال
موسي مُوسَى
لقومه قَوْم
ان أَنَّ
الله اللَّه
يامركم أَمَر
ان أَنَّ
تذبحوا ذَبَح
بقرة بَقَر
قالوا قال
اتتخذنا اتتخذنا
هزوا هَزّ
قال قال
اعوذ عاذ
بالله اللَّه
ان أَنَّ
اكون كان
من مِن
الجاهلين جاهِل
قالوا قال
ادع دَعا
لنا لِ
ربك رَبّ
يبين بَيَّن
لنا لِ
ما ما
هي هِيَ
قال قال
انه أَنَّ
يقول قال
انها أَنَّ
بقرة بَقَر
لا لا
فارض أَرْض
ولا لا
بكر بَكْر
عوان عَوان
بين بَيِّن
ذلك ذٰلِكَ
فافعلوا فافعلوا
ما ما
تؤمرون أَمَّر
قالوا قال
ادع دَعا
لنا لِ
ربك رَبّ
يبين بَيَّن
لنا لِ
ما ما
لونها لَوْن
قال قال
انه أَنَّ
يقول قال
انها أَنَّ
بقرة بَقَر
صفراء أَصْفَر
فاقع وَقَع
لونها لَوْن
تسر سار
الناظرين ناظِر
قالوا قال
ادع دَعا
لنا لِ
ربك رَبّ
يبين بَيَّن
لنا لِ
ما ما
هي هِيَ
ان أَنَّ
البقر بَقَر
تشابه شابَه
علينا عَلَى
وانا أَنا
ان أَنَّ
شاء شاء
الله اللَّه
لمهتدون مُهْتَدِي
قال قال
انه أَنَّ
يقول قال
انها أَنَّ
بقرة بَقَر
لا لا
ذلول ذَلُول
تثير أَثار
الارض أَرْض
ولا لا
تسقي سَقَى
الحرث حَرْث
مسلمة مُسْلِم
لا لا
شية شَيّ
فيها فِي
قالوا قال
الان آن
جئت جاء
بالحق حَقّ
فذبحوها ذَبَح
وما ما
كادوا كاد
يفعلون فَعَل
واذ إِذ
قتلتم قَتَل
نفسا نَفْس
فاداراتم فاداراتم
فيها فِي
والله اللَّه
مخرج مَخْرَج
ما ما
كنتم كان
تكتمون كَتَم
فقلنا قال
اضربوه أَضْرَب
ببعضها بَعْض
كذلك ذٰلِكَ
يحيي يَحْيَى
الله اللَّه
الموتي مَيِّت
ويريكم وَرَى
اياته آيَة
لعلكم لَعَلَّ
تعقلون عَقَل
ثم ثُمَّ
قست قاس
قلوبكم قَلْب
من مِن
بعد بُعْد
ذلك ذٰلِكَ
فهي هِيَ
كالحجارة حَجّار
او أَو
اشد أَشَدّ
قسوة قَسْوَة
وان أَنَّ
من مِن
الحجارة حَجّار
لما ما
يتفجر تَفَجَّر
منه مِن
الانهار نَهْر
وان أَنَّ
منها مِن
لما ما
يشقق شَقّ
فيخرج خَرَج
منه مِن
الماء ماء
وان أَنَّ
منها مِن
لما ما
يهبط هَبَط
من مِن
خشية خَشْيَة
الله اللَّه
وما ما
الله اللَّه
بغافل غافِل
عما عَن
تعملون عَمِل
افتطمعون افتطمعون
ان أَنَّ
يؤمنوا أَمَّن
لكم لِ
وقد قَدْ
كان كان
فريق فَرِيق
منهم مِن
يسمعون أَسْمَع
كلام كَلام
الله اللَّه
ثم ثُمَّ
يحرفونه حَرَّف
من مِن
بعد بُعْد
ما ما
عقلوه عَقَّل
وهم هُم
يعلمون عَلِم
واذا إِذا
لقوا لَقِي
الذين الَّذِي
امنوا أَمَّن
قالوا قال
امنا أَمْن
واذا إِذا
خلا خَلا
بعضهم عَضّ
الي إِلَى
بعض عَضّ
قالوا قال
اتحدثونهم اتحدثونهم
بما ما
فتح فَتْح
الله اللَّه
عليكم عَلَى
ليحاجوكم حاجَى
به بِ
عند عِنْد
ربكم رَبّ
افلا آفِل
تعقلون عَقَل
اولا أَوَّل
يعلمون عَلِم
ان أَنَّ
الله اللَّه
يعلم عَلِم
ما ما
يسرون سَرَى
وما ما
يعلنون أَعْلَن
ومنهم مِن
اميون أُمِّيّ
لا لا
يعلمون عَلِم
الكتاب كِتاب
الا إِلّا
اماني أَمان
وان أَنَّ
هم هُم
الا إِلّا
يظنون ظَنّ
فويل وَيْل
للذين الَّذِي
يكتبون كَتَب
الكتاب كِتاب
بايديهم يَد
ثم ثُمَّ
يقولون قال
هذا هٰذا
من مِن
عند عِنْد
الله اللَّه
ليشتروا ٱِشْتَرَى
به بِ
ثمنا ثَمَن
قليلا قَلِيل
فويل وَيْل
لهم لِ
مما مِن
كتبت كَتَب
ايديهم يَد
وويل وَيْل
لهم لِ
مما مِن
يكسبون كَسَب
وقالوا قال
لن لَن
تمسنا مَسّ
النار نار
الا إِلّا
اياما يَوْم
معدودة مَعْدُود
قل قال
اتخذتم ٱُتُّخِذ
عند عِنْد
الله اللَّه
عهدا عَهْد
فلن لَن
يخلف خَلَّف
الله اللَّه
عهده عَهْد
ام أَم
تقولون قال
علي عَلَى
الله اللَّه
ما ما
لا لا
تعلمون عَلِم
بلي لِي
من مِن
كسب كَسْب
سيئة سَيِّء
واحاطت أَحاط
به بِ
خطيئته خَطِيئَة
فاولئك أُولائِكَ
اصحاب صاحِب
النار نار
هم هُم
فيها فِي
خالدون خالِد
والذين الَّذِي
امنوا أَمَّن
وعملوا عَمِل
الصالحات صالِح
اولئك أُولائِكَ
اصحاب صاحِب
الجنة جَنَّة
هم هُم
فيها فِي
خالدون خالِد
واذ إِذ
اخذنا أَخَذ
ميثاق مِيثاق
بني بَنِي
اسرائيل إِسْرائِيل
لا لا
تعبدون عَبَّد
الا إِلّا
الله اللَّه
وبالوالدين والِد
احسانا إِحْسان
وذي ذُو
القربي قِرْبِيّ
واليتامي يَتِيم
والمساكين مِسْكِين
وقولوا قال
للناس ناس
حسنا حُسْن
واقيموا واقيموا
الصلاة صَلاة
واتوا أَتَى
الزكاة زَكاة
ثم ثُمَّ
توليتم تَوَلَّى
الا إِلّا
قليلا قَلِيل
منكم مِن
وانتم أَنْتُم
معرضون مُعَرَّض
واذ إِذ
اخذنا أَخَذ
ميثاقكم مِيثاق
لا لا
تسفكون سَفَك
دماءكم دَم
ولا لا
تخرجون خَرَج
انفسكم نَفْس
من مِن
دياركم دار
ثم ثُمَّ
اقررتم أَقَرّ
وانتم أَنْتُم
تشهدون شَهِد
ثم ثُمَّ
انتم أَنْتُم
هؤلاء هٰذا
تقتلون قَتَل
انفسكم نَفْس
وتخرجون خَرَج
فريقا فَرِيق
منكم مِن
من مِن
ديارهم دار
تظاهرون ظاهَر
عليهم عَلَى
بالاثم إِثْم
والعدوان عُدْوان
وان أَنَّ
ياتوكم أَتَى
اساري أَسِير
تفادوهم تَفادَى
وهو هُوَ
محرم مُحَرَّم
عليكم عَلَى
اخراجهم إِخْراج
افتؤمنون افتؤمنون
ببعض بَعْض
الكتاب كِتاب
وتكفرون كَفَّر
ببعض بَعْض
فما ما
جزاء جَزاء
من مِن
يفعل فَعَل
ذلك ذٰلِكَ
منكم مِن
الا إِلّا
خزي خِزْي
في فِي
الحياة حَياة
الدنيا دُنْيا
ويوم يَوْم
القيامة قِيامَة
يردون رَدّ
الي إِلَى
اشد أَشَدّ
العذاب عَذاب
وما ما
الله اللَّه
بغافل غافِل
عما عَن
تعملون عَمِل
اولئك أُولائِكَ
الذين الَّذِي
اشتروا ٱِشْتَرَى
الحياة حَياة
الدنيا دُنْيا
بالاخرة آخِرَة
فلا لا
يخفف خَفَّف
عنهم عَن
العذاب عَذاب
ولا لا
هم هُم
ينصرون نَصَر
ولقد قَدْ
اتينا أَتَى
موسي مُوسَى
الكتاب كِتاب
وقفينا وَقْفِيّ
من مِن
بعده بُعْد
بالرسل رَسُول
واتينا أَتَى
عيسي عِيسَى
ابن ٱِبْن
مريم مَرْيَم
البينات بَيِّنَة
وايدناه أَيَّد
بروح رُوح
القدس قُدْس
افكلما افكلما
جاءكم جاء
رسول رَسُول
بما ما
لا لا
تهوي هَوَى
انفسكم نَفْس
استكبرتم ٱِسْتَكْبَر
ففريقا فَرِيق
كذبتم كَذَب
وفريقا فَرِيق
تقتلون قَتَل
وقالوا قال
قلوبنا قَلْب
غلف غِلاف
بل بَل
لعنهم لَعَن
الله اللَّه
بكفرهم كُفْر
